Date,Open,High,Low,Close,Adj Close,Volume
2022-11-21,3.940000,3.940000,3.740000,3.740000,3.662728,279
2022-11-22,3.900000,3.900000,3.900000,3.900000,3.819422,76
2022-11-23,3.860000,3.860000,3.860000,3.860000,3.780249,290
2022-11-24,3.780000,3.780000,3.780000,3.780000,3.701902,70
2022-11-25,3.960000,3.960000,3.960000,3.960000,3.878183,20
2022-11-28,3.960000,4.000000,3.700000,3.700000,3.623554,6303
2022-11-29,3.700000,3.700000,3.700000,3.700000,3.623554,0
2022-11-30,3.980000,4.200000,3.640000,3.760000,3.682315,9428
2022-12-01,3.920000,3.920000,3.880000,3.880000,3.799836,301
2022-12-02,3.880000,3.880000,3.880000,3.880000,3.799836,0
2022-12-05,3.640000,3.640000,3.640000,3.640000,3.564794,150
2022-12-06,3.640000,3.780000,3.640000,3.780000,3.701902,125
2022-12-07,3.640000,3.640000,3.640000,3.640000,3.564794,1358
2022-12-08,3.640000,3.640000,3.640000,3.640000,3.564794,0
2022-12-09,3.640000,3.880000,3.640000,3.700000,3.623554,2516
2022-12-12,3.860000,3.860000,3.860000,3.860000,3.780249,1
2022-12-13,3.680000,3.860000,3.680000,3.860000,3.780249,1012
2022-12-14,3.680000,3.680000,3.680000,3.680000,3.603968,24
2022-12-15,3.700000,3.900000,3.680000,3.700000,3.623554,7047
2022-12-16,3.900000,3.980000,3.720000,3.960000,3.878183,3310
2022-12-19,3.720000,3.740000,3.720000,3.740000,3.662728,685
2022-12-20,3.740000,3.740000,3.740000,3.740000,3.662728,8
2022-12-21,3.740000,3.740000,3.740000,3.740000,3.662728,200
2022-12-22,3.740000,3.740000,3.740000,3.740000,3.662728,700
2022-12-23,3.740000,3.740000,3.740000,3.740000,3.662728,48
2022-12-27,3.660000,4.000000,3.660000,3.700000,3.623554,2458
2022-12-28,3.780000,3.780000,3.780000,3.780000,3.701902,494
2022-12-29,3.980000,3.980000,3.800000,3.800000,3.721488,1479
2022-12-30,3.780000,4.080000,3.780000,4.080000,3.995703,3348
2023-01-02,3.940000,4.180000,3.900000,4.180000,4.093637,6316
2023-01-03,4.200000,4.200000,3.800000,3.960000,3.878183,19368
2023-01-04,4.120000,4.200000,4.120000,4.200000,4.113224,8012
2023-01-05,4.580000,4.580000,4.240000,4.320000,4.230745,11050
2023-01-06,4.480000,4.480000,4.300000,4.300000,4.211158,2016
2023-01-09,4.300000,4.460000,4.120000,4.420000,4.328679,2954
2023-01-10,4.300000,4.300000,4.300000,4.300000,4.211158,10
2023-01-11,4.180000,4.280000,4.180000,4.280000,4.191571,672
2023-01-12,4.400000,4.400000,4.400000,4.400000,4.309092,1236
2023-01-13,4.160000,4.480000,4.160000,4.200000,4.113224,11831
2023-01-16,4.180000,4.400000,4.160000,4.200000,4.113224,10493
2023-01-17,4.200000,4.260000,4.200000,4.260000,4.171985,361
2023-01-18,4.380000,4.440000,4.240000,4.420000,4.328679,1380
2023-01-19,4.420000,4.420000,4.420000,4.420000,4.328679,17
2023-01-20,4.420000,4.420000,4.420000,4.420000,4.328679,73
2023-01-23,4.420000,4.420000,4.420000,4.420000,4.328679,0
2023-01-24,4.220000,4.300000,4.200000,4.200000,4.113224,3397
2023-01-25,4.160000,4.300000,4.160000,4.260000,4.171985,6869
2023-01-26,4.260000,4.260000,4.260000,4.260000,4.171985,45
2023-01-27,4.280000,4.280000,4.240000,4.240000,4.152398,999
2023-01-30,4.220000,4.360000,4.220000,4.360000,4.269918,200
2023-01-31,4.280000,4.500000,4.280000,4.480000,4.387439,6960
2023-02-01,4.480000,4.480000,4.280000,4.480000,4.387439,1030
2023-02-02,4.480000,4.500000,4.260000,4.500000,4.407026,735
2023-02-03,4.500000,4.500000,4.280000,4.320000,4.230745,1076
